NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	arm	1673	ARM
2	back	1291	BACK
3	body	1480	BODY
4	buttocks	834	BUTTOCKS
5	ear	1247	EAR
6	eye	1248	EYE
7	face	1560	FACE
8	finger	1303	FINGER
9	foot	1301	FOOT
10	hand	1277	HAND
11	head	1256	HEAD
12	heart	1223	HEART
13	heel	980	HEEL
14	hip	1745	HIP
15	knee	1371	KNEE
16	leg	1297	LEG
17	mouth	674	MOUTH
18	neck	1333	NECK
19	nose	1221	NOSE
20	rib	801	RIB
21	shoulder	1482	SHOULDER
22	skin	2613	SKIN (HUMAN)
23	sole	2666	SOLE (FOOT)
24	throat	1346	THROAT
25	toe	1389	TOE
26	tongue	1205	TONGUE
27	tooth	1380	TOOTH
28	vein	1924	VEIN